"Player","Season","Team","GP","TOI","SA","GA","Sv%","xSv%","dSv%","LDSv%","MDSv%","HDSv%","GSAA"
"JAROSLAV.HALAK","2015-2016","NYI",36,1708.58,805,63,92.17,91.42,0.75,98.38,93.51,79.89,6.04
"JAROSLAV.HALAK","2016-2017","NYI",28,1263.75,663,54,91.86,91.78,0.07,96.22,96.2,74.81,0.47
"JAROSLAV.HALAK","2017-2018","NYI",54,2404.71,1344,103,92.34,91.85,0.49,96.9,93.39,80.38,6.53
"JAROSLAV.HALAK","2018-2019","BOS",40,1836.18,885,56,93.67,91.83,1.84,97.78,93.02,85.47,16.3
"JASON.LABARBERA","2007-2008","L.A",45,1770.48,1010,86,91.49,91.6,-0.11,97.78,92.28,75.88,-1.14
"JASON.LABARBERA","2008-2009","L.A/VAN",27,1030.1,488,42,91.39,92.51,-1.12,97.98,90.75,73.02,-5.46
"JASON.LABARBERA","2009-2010","ARI",17,656.07,324,23,92.9,92.54,0.36,97.78,94.89,75,1.18
"JASON.LABARBERA","2010-2011","ARI",17,697.58,386,26,93.26,91.97,1.3,98.57,92.49,84.93,5
"JASON.LABARBERA","2011-2012","ARI",19,789.37,363,35,90.36,92.85,-2.5,96.3,90.65,73.13,-9.06
"JASON.LABARBERA","2012-2013","ARI",15,575.87,319,23,92.79,91.67,1.12,97.66,95.8,79.17,3.57
"JASON.LABARBERA","2013-2014","EDM",7,278.22,105,11,89.52,91.89,-2.36,93.62,91.89,76.19,-2.48
"JEAN-FRANCOIS.BERUBE","2015-2016","NYI",7,313.38,146,12,91.78,91.36,0.42,100,94.44,75.68,0.61
"JEAN-FRANCOIS.BERUBE","2016-2017","NYI",14,448.29,234,23,90.17,92.92,-2.75,96.15,88.54,76.47,-6.43
"JEAN-SEBASTIEN.GIGUERE","2007-2008","ANA",58,2284.08,1023,63,93.84,92.04,1.8,98.05,91.83,90.67,18.41
"JEAN-SEBASTIEN.GIGUERE","2008-2009","ANA",46,1791.97,880,74,91.59,92.52,-0.92,97.27,90.7,77.98,-8.14
